Kind,Name,File,MaxNesting,PercentLackOfCohesion,MaxInheritanceTree,SumCyclomatic,CountClassDerived,CountClassBase,CountClassCoupled
File,"BigDecimalUtil.java",BigDecimalUtil.java,2,,,10,,,
File,"CalendarUtil.java",CalendarUtil.java,3,,,17,,,
File,"CrumbManager.java",CrumbManager.java,5,,,24,,,
File,"ExchangeTimeZone.java",ExchangeTimeZone.java,1,,,5,,,
File,"FxQuote.java",FxQuote.java,1,,,9,,,
File,"FxQuoteRequestTest.java",FxQuoteRequestTest.java,0,,,2,,,
File,"FxQuotesQuery1V7Request.java",FxQuotesQuery1V7Request.java,0,,,2,,,
File,"FxQuotesRequest.java",FxQuotesRequest.java,1,,,3,,,
File,"FxSymbols.java",FxSymbols.java,0,,,0,,,
File,"HistDividendsRequest.java",HistDividendsRequest.java,1,,,8,,,
File,"HistQuotes2Request.java",HistQuotes2Request.java,1,,,14,,,
File,"HistQuotesQuery2V8Request.java",HistQuotesQuery2V8Request.java,2,,,13,,,
File,"HistQuotesRequest.java",HistQuotesRequest.java,1,,,11,,,
File,"HistSplitsRequest.java",HistSplitsRequest.java,1,,,8,,,
File,"HistoricalDividend.java",HistoricalDividend.java,0,,,9,,,
File,"HistoricalQuote.java",HistoricalQuote.java,0,,,19,,,
File,"HistoricalQuoteRequestTest.java",HistoricalQuoteRequestTest.java,1,,,9,,,
File,"HistoricalSplit.java",HistoricalSplit.java,0,,,12,,,
File,"Interval.java",Interval.java,0,,,2,,,
File,"IntervalMapper.java",IntervalMapper.java,1,,,4,,,
File,"MockedServersTest.java",MockedServersTest.java,1,,,3,,,
File,"PrimitiveTypesConvertUtils.java",PrimitiveTypesConvertUtils.java,2,,,15,,,
File,"QueryInterval.java",QueryInterval.java,0,,,2,,,
File,"QuoteRequestFlowTest.java",QuoteRequestFlowTest.java,0,,,4,,,
File,"QuotesProperty.java",QuotesProperty.java,0,,,2,,,
File,"QuotesRequest.java",QuotesRequest.java,2,,,11,,,
File,"QuotesRequest.java",QuotesRequest.java,2,,,7,,,
File,"RedirectableRequest.java",RedirectableRequest.java,2,,,19,,,
File,"ResponseResource.java",ResponseResource.java,1,,,4,,,
File,"SimpleQuoteRequestTest.java",SimpleQuoteRequestTest.java,0,,,3,,,
File,"Stock.java",Stock.java,2,,,45,,,
File,"StockDataUpdater.java",StockDataUpdater.java,2,,,14,,,
File,"StockDividend.java",StockDividend.java,1,,,15,,,
File,"StockDividendBuilder.java",StockDividendBuilder.java,0,,,7,,,
File,"StockQuote.java",StockQuote.java,1,,,59,,,
File,"StockQuotesData.java",StockQuotesData.java,1,,,7,,,
File,"StockQuotesQuery1V7Request.java",StockQuotesQuery1V7Request.java,2,,,15,,,
File,"StockQuotesRequest.java",StockQuotesRequest.java,3,,,10,,,
File,"StockStats.java",StockStats.java,1,,,41,,,
File,"Utils.java",Utils.java,3,,,20,,,
